b_plant1	b_plant2	b_plant3	b_plant4	b_fung1	b_fung2	b_fung3	b_fung4	b_eukar1	b_eukar2	b_eukar3	b_eukar4	b_insect1	b_insect2	b_insect3	b_insect4
-0.473242925	-0.587963504	0.229745197	0.053006279	-0.796543014	0.486657687	0.118953503	0.149128353	-1.425401995	0.39705938	0.23124768	-0.362315723	0.131309188	-0.15886408	0.176926878	-0.157003164
-0.147407089	-0.341018505	0.294415299	-0.039544986	-0.549198186	0.01494981	-0.516396069	-0.01613967	-0.742053753	0.694739082	-0.519432917	-0.275865462	0.180505452	-0.052521639	-0.1187806	-0.078959617
-0.421731081	-0.646458826	-0.425366998	0.043311617	-0.674207552	0.35681843	0.561070718	0.076716221	-1.015712805	-0.38206243	0.618335814	0.067659789	0.009175421	-0.244532708	0.051526499	-0.221828345
-0.555164418	-0.671473572	0.002652541	0.058862622	-0.679993883	0.331450262	0.604901256	0.104380898	-1.413074612	0.008381715	0.6884973	0.00642353	0.067205808	-0.279647993	0.182622699	-0.136920667
-0.253461221	0.476332813	-0.4758108	0.106724303	0.418315034	-0.081098575	0.532570848	-0.3047033	0.733083161	-0.560954566	0.393923642	0.799709601	-0.173619744	0.061276533	0.224669646	-0.113250302
0.172579423	-0.394772437	-0.214441506	-0.164537163	-0.788960197	-0.239161161	-0.042933437	0.027723948	-1.359513395	-0.44316014	-0.338069175	-0.485003637	0.038642534	-0.22115002	-0.057569553	-0.11366386
-0.258222572	0.10890605	-0.093875665	0.230547936	-0.121685141	0.24774331	0.315566257	-0.444703837	-0.128629494	0.167334207	0.303023565	0.509745832	0.041618907	-0.013459012	0.178409768	-0.091125815
1.083776051	-0.174436736	0.047058785	0.408315325	0.025206373	-0.730023628	0.116029693	0.670573975	-0.2469918	0.037563888	0.367905247	0.132406681	-0.111481311	-0.094597082	-0.022390195	-0.14129616
0.85348368	-0.250373517	-0.228824397	0.367716328	-0.505895002	-0.537435299	0.001013141	-0.045897844	-0.793357345	-0.366703583	-0.547566429	0.260803244	-0.015749418	-0.178395224	-0.130320243	-0.024474175
0.955103499	-0.080666567	-0.323404825	-0.071123707	-0.405030903	-0.547283732	-0.135100067	-0.206368732	-0.998405149	-0.290032475	-0.476356658	0.520437195	-0.020330452	-0.182343467	-0.091820547	-0.025148732
0.713599325	-0.309050366	0.087679002	0.561458044	-0.748778701	-0.439447337	-0.409157786	0.174012344	-1.264083932	0.028770649	-0.586342816	-0.004484969	-0.032648928	-0.214672675	-0.061331829	-0.010865989
0.259000494	0.14811463	0.537192284	0.404022592	0.183042226	0.101974234	-0.605438493	-0.165237216	0.499995014	0.842359502	-0.394008747	0.31594583	0.304976757	0.082705067	0.004135841	-0.025166118
0.619164779	0.019327463	0.043905574	-0.713183936	0.390131938	-0.545124979	0.112433676	0.355108056	0.447159594	-0.979371662	-0.514589787	-0.393723942	-0.083745428	0.082678557	0.026644467	-0.369645459
-0.333094369	0.49222794	0.419326946	-0.034106585	0.794376259	0.285973454	-0.288554213	-0.11734862	1.55571158	1.163270686	0.023357364	0.416852009	0.176633849	0.25602436	0.033285098	-0.095060252
1.009157953	-0.322830385	-0.174110634	0.347529357	-0.621453988	-0.598435488	-0.128571594	-0.117144238	-0.945906896	-0.403051359	-0.548209251	0.50007779	-0.038952197	-0.178191625	-0.13642546	-0.11357044
-0.398827027	-0.534861536	-0.388135687	0.225129316	-0.673833999	0.23529814	0.506182813	-0.088887739	-1.196739376	-0.415605714	0.543012765	0.202463117	0.015194084	-0.115992573	0.14306569	-0.221892296
-0.257623437	-0.493927945	0.452398117	-0.060520181	-0.29055679	0.789493693	-0.422156445	-0.22862697	-0.303509114	1.707013894	0.150265209	-0.028446301	0.325504088	0.025823363	-0.029909405	-0.057681
-0.017151689	1.277428564	-0.071330988	0.350213832	0.620621974	0.005829493	0.298917416	-0.082188654	1.042790508	-0.276087256	0.464980519	0.869672596	-0.053720126	0.126580421	0.295667556	-0.048570172
