"Data...1." "N" "NSE" "M" "MSE" "R" "RSE" "L" "LSE"
"46" 46 5.73660247470459 1.05175387152687 6.45719273707387 0.976278564465709 5.03540244806682 0.830639470338856 4.73375018830286 0.071601100580487
"47" 47 4.3946718703351 1.05175348261467 6.00289270657273 0.977029096204387 4.56994479254233 0.826498844138332 4.63861794366405 0.0751215639239957
"48" 48 4.56318194109936 1.05188102712273 5.83777771802429 0.97624631095752 5.06903591291599 0.835367164595354 4.37897486450355 0.0807583439249345
"49" 49 5.26067437281101 1.05761646111966 6.04175338468056 0.98052592693048 5.41037180392999 0.828727401036364 4.6624577905729 0.0712234476088969
"50" 50 3.79737719467862 1.05446409317161 7.05684267395655 0.977326334117278 4.20598643740008 0.830487940373605 5.2549083267984 0.0973453593017905
"51" 51 6.51234013562592 1.06918747831831 7.27935365375357 0.988979904273215 6.64298346306246 0.825959337014168 5.2698745535849 0.11712117246245
"52" 52 2.96716905402397 1.06609692997065 6.11258870562478 0.976677832845179 3.52638325417782 0.837324987113781 5.2843300947701 0.107195815230556
"53" 53 4.61471118612058 1.04831672145137 4.78636639428143 0.986535504345898 5.93541709640465 0.831983430960454 6.21689716323315 0.0854183468579092
"54" 54 6.03596330364214 1.0949709620484 5.3220563027355 0.977351688302955 6.70796282738689 0.839357522880295 6.39315779883389 0.100396950191042
"55" 55 4.19023311749437 1.0541852525952 4.76367327371399 0.990028549125308 6.13469676712824 0.839319519396239 6.0110085663247 0.0975122024419165
"56" 56 5.68649200131727 1.06598554857095 5.43228525551796 0.985791615200187 6.3407740694449 0.835643260256055 4.30923866855702 0.104694115793549
"57" 57 3.61449525221756 1.05206094075928 5.50137774207628 0.979342475318379 4.38521293554043 0.82750017185124 6.05769751906188 0.0751040885684515
"58" 58 4.44755093469129 1.05844132133608 4.67591246551444 0.977800281451349 6.8439148705299 0.836231329621806 6.09721310970695 0.0874334830499389
"59" 59 4.08428754951984 1.0284877808648 5.87467688979986 0.97778599520289 5.98056766779299 0.83047106373777 5.25317606228223 0.0732823215413022
"60" 60 4.68875466732327 1.05190797943139 6.83294489620777 0.982504354685411 6.23200306441186 0.834739461032488 6.44568182143391 0.110423959061609
"61" 61 2.9165287846646 1.04539889667441 7.90532630348114 1.0036519080642 3.5829163883018 0.845846212669127 6.69667571379845 0.127205434585726
"62" 62 2.0609158727825 1.06223753029391 5.05815364324771 0.983789583489787 3.1552139701937 0.83679061091541 6.83404218182654 0.116699926783586
