"Site_nr" "site_name" "HighForest" "HFclass" "HFpost" "Forest" "Foclass" "Fopost" "Agriculture" "Agclass" "Agpost" "Coniferous" "Beech" "Beclass" "Bepost" "Oak" "Oaclass" "Oapost" "Willow" "Wiclass" "Wipost" "Heathland" "Dwarfshrubs" "DSclass" "DSpost" "Alder" "Alclass" "Alpost" "Phragmites" "Phclass" "Phpost" "Atlantic" "Jutland" "Jyclass" "Jypost"
"11" 11 "Lild_Strand" 0 1 4.18849269087949e-05 0 1 0.00182708492374533 0 1 2.04362955560435e-12 0 0 1 0.0320930101406978 0 1 1.60170540847078e-05 0 1 5.79089297992825e-16 1 1 2 0.952046336269265 0 1 0.000678178682236073 0 1 5.79089297992825e-16 1 1 2 0.819829978352121
"12" 12 "Raspkaer" 0 1 2.93052302519182e-05 1 1 5.55567355784474e-05 0 1 5.79345610451904e-23 1 0 1 0.000243035116816425 0 1 5.01940798038846e-06 0 1 3.90188283749626e-13 0 1 2 0.953915635313174 0 1 0.00149139094870498 0 1 3.90188283749626e-13 1 1 2 0.983894049574059
"13" 13 "Toemmerby_Fjord" 0 1 0.00171459910169246 1 2 0.998540681215768 0 1 1.45470467468895e-21 0 0 1 0.0947551555376339 0 1 0.0460485266874384 1 1 0.0880850421806494 0 0 1 0.0345155486229258 0 1 0.158659622961378 0 1 0.0880850421806494 1 1 2 0.950987062561463
"14" 14 "Febbersted" 0 1 3.2994928978391e-07 0 1 2.05162175609377e-06 0 1 9.93569096187083e-08 0 0 1 0.0402084219744246 0 1 8.94965428412793e-05 0 1 4.32654021867859e-43 0 1 2 0.973565775492518 0 1 2.96180091208899e-07 0 1 4.32654021867859e-43 1 1 2 0.982165807391743
"15" 15 "Kokkaervand" 0 1 1.68698170464913e-07 0 1 1.24582965052377e-06 0 1 3.99732876565377e-17 0 0 1 0.0505743717902574 0 1 0.000170122265135538 0 1 1.01703916087927e-46 0 1 2 0.974989791577218 0 1 9.75205588252447e-08 0 1 1.01703916087927e-46 1 1 2 0.951415426814704
"16" 16 "Tjenestejorden" 0 1 0.000157362094376774 0 1 2.35753509893415e-07 1 2 0.644774991459124 0 0 1 0.0458985939238097 0 1 2.65940278621939e-05 0 1 2.90691931340678e-64 0 0 1 0.014375876652547 0 1 3.09643964635677e-08 0 1 2.90691931340678e-64 1 1 2 0.610999629329589
"17" 17 "Tovsigvej" 0 1 0.429730962645222 1 2 0.999650428265898 0 1 8.54612559699786e-10 0 0 1 0.137726737080582 1 1 0.204182299528787 0 1 4.32430041789526e-07 0 0 1 0.0527285669080866 0 1 0.00993353549312257 0 1 4.32430041789526e-07 1 1 2 0.905420416714389
"18" 18 "Oesterild" 0 1 0.000175864933919913 0 1 2.57505067792299e-05 0 1 0.000137577302799257 0 0 1 0.00286492215909837 0 1 1.80542202911762e-05 0 1 1.4530493996612e-33 0 0 2 0.557731097998065 0 1 4.66517831161138e-05 0 1 1.4530493996612e-33 1 1 2 0.870222573557447
"19" 19 "Buderupholm" 1 2 0.695254203206108 1 2 0.999772987197197 0 1 2.00086974487481e-09 0 1 1 0.00190542876929346 0 1 0.250519631374158 0 1 2.36636188201288e-22 0 0 1 3.99779066943491e-05 0 1 0.00207120477374843 0 1 2.36636188201288e-22 0 1 2 0.785933631167682
"20" 20 "Urskoven" 1 2 0.778459564186462 1 2 0.999981526657438 0 1 3.30995329602772e-05 0 1 1 0.111135378927443 0 2 0.567349143775633 0 1 1.29498188375047e-10 0 0 1 0.00134609360164411 0 1 0.010610364762714 0 1 1.29498188375047e-10 0 1 2 0.633363513782204
"21" 21 "Skindbjerglund" 0 2 0.833656932337542 1 2 0.999993294711739 0 1 0.000154102992587012 0 0 1 0.115278855660906 1 2 0.510164425094472 0 1 1.81628353629606e-06 0 0 1 0.000396945332933806 0 1 0.0518624237833475 0 1 1.81628353629606e-06 0 1 2 0.628818291823191
"22" 22 "Hoestemark_Engskov" 0 1 0.327161462872209 1 2 0.999999069229433 0 1 2.53350774234632e-11 0 0 1 0.100519174331582 0 1 0.457376000922015 0 1 0.235836954617422 0 1 1 6.6310455670014e-12 1 1 0.00334296480110259 0 1 0.235836954617422 0 1 2 0.575263071011064
"23" 23 "Hoestemark_Sumpskov" 0 1 0.000111542269086789 1 2 0.90062147261967 0 1 5.68181293488698e-19 0 0 1 0.0414056411338764 0 1 1.47940391511293e-05 0 2 0.810578795296332 0 0 1 0.0113683984680221 1 2 0.607148142103036 0 2 0.810578795296332 0 1 2 0.951452478448193
"24" 24 "Regan_Vest" 0 2 0.690168566105578 1 2 0.786140285572457 0 1 8.45841160371087e-14 0 0 1 0.0408180326483341 0 1 0.0170786190138973 0 1 1.17972084970977e-27 0 0 1 6.85537936357629e-05 0 1 0.00121544769280407 0 1 1.17972084970977e-27 0 1 2 0.99631067916596
"25" 25 "Gravlev_Kaer" 0 1 0.000638154403742778 0 1 0.000441713323089124 0 1 1.80251751494682e-12 0 0 1 0.0215005688226762 0 1 3.42089589762274e-13 0 1 6.71967617672087e-11 0 0 1 0.00688262553801252 0 1 0.246655376076825 0 1 6.71967617672087e-11 0 1 2 0.963118366959926
"26" 26 "Rold" 1 2 0.836465332614011 1 2 0.999999291665651 0 1 6.9710754911977e-07 0 1 1 0.106730327818943 0 1 0.430520282612379 0 1 1.81662593903974e-05 0 0 1 0.00036313629061707 0 1 0.0318833434028886 0 1 1.81662593903974e-05 0 1 2 0.825063804267479
"27" 27 "Husby_Klit" 0 1 6.81118470191103e-06 0 1 5.43480103540958e-05 0 1 3.50988290212568e-06 0 0 1 0.0325671578666567 0 1 0.0014229791182669 0 1 1.23318921135972e-38 0 1 2 0.946833162655634 0 1 1.12776110073687e-06 0 1 1.23318921135972e-38 1 1 2 0.98349910930621
"28" 28 "Ejstrup_Mose" 0 1 9.11048531133161e-09 0 1 0.00310608859043413 0 1 1.60222975527681e-30 0 0 1 0.000149203160001395 0 1 1.21350251607842e-12 0 1 0.333308140849264 0 1 2 0.80373071527103 0 1 0.293908516524534 1 1 0.333308140849264 1 1 2 0.980667239362581
"29" 29 "Soenderbyvej" 0 1 0.00485018321397456 0 1 1.75677146646022e-06 1 2 0.987046098397982 0 0 1 0.080143889077049 0 1 9.5621310745478e-08 0 1 1.39380769158967e-46 0 0 1 0.0047984098343065 0 1 8.77450509212328e-06 0 1 1.39380769158967e-46 1 1 2 0.642828484406403
